Time(sec)	Acceleration (g)	Speed	Position	Scaled position
5.9200	0.025149	-0.0033334	0.0081750	27.247
5.9400	0.017142	-0.0029105	0.0081126	27.039
5.9600	-0.0098330	-0.0028374	0.0080551	26.848
5.9800	-0.070883	-0.0036446	0.0079903	26.632
6.0000	-0.10720	-0.0054254	0.0078996	26.329
6.0200	-0.10280	-0.0075254	0.0077701	25.898
6.0400	-0.11058	-0.0096592	0.0075982	25.325
6.0600	-0.13836	-0.012149	0.0073802	24.598
6.0800	-0.16219	-0.015154	0.0071071	23.688
6.1000	-0.16962	-0.018472	0.0067709	22.567
6.1200	-0.16971	-0.021866	0.0063675	21.223
6.1400	-0.15554	-0.025118	0.0058977	19.657
6.1600	-0.12908	-0.027964	0.0053668	17.888
6.1800	-0.062853	-0.029884	0.0047884	15.960
6.2000	0.045418	-0.030058	0.0041889	13.962
6.2200	0.13851	-0.028219	0.0036062	12.019
6.2400	0.18909	-0.024943	0.0030745	10.247
6.2600	0.18637	-0.021188	0.0026132	8.7098
6.2800	0.14069	-0.017917	0.0022222	7.4066
6.3000	0.096510	-0.015545	0.0018876	6.2914
6.3200	0.050419	-0.014076	0.0015913	5.3038
6.3400	0.0098890	-0.013473	0.0013159	4.3859
6.3600	-0.033980	-0.013714	0.0010440	3.4797
6.3800	-0.068257	-0.014736	0.00075949	2.5314
6.4000	-0.095622	-0.016375	0.00044838	1.4945
6.4200	-0.11656	-0.018497	9.9657e-05	0.33216
6.4400	-0.12373	-0.020900	-0.00029431	-0.98094
6.4600	-0.094485	-0.023082	-0.00073413	-2.4469
6.4800	-0.029298	-0.024320	-0.0012082	-4.0269
6.5000	0.026187	-0.024351	-0.0016949	-5.6491
6.5200	0.062984	-0.023459	-0.0021730	-7.2426
6.5400	0.074243	-0.022087	-0.0026284	-8.7605
6.5600	0.076264	-0.020582	-0.0030551	-10.183
6.5800	0.064648	-0.019173	-0.0034527	-11.508
6.6000	0.032904	-0.018197	-0.0038264	-12.753
6.6200	-0.020877	-0.018077	-0.0041891	-13.962
6.6400	-0.086688	-0.019153	-0.0045614	-15.203
6.6600	-0.16631	-0.021682	-0.0049697	-16.564
6.6800	-0.23944	-0.025740	-0.0054440	-18.145
6.7000	-0.28408	-0.030975	-0.0060111	-20.035
6.7200	-0.21511	-0.035967	-0.0066805	-22.266
6.7400	-0.058573	-0.038704	-0.0074272	-24.755
6.7600	0.075071	-0.038539	-0.0081997	-27.330
6.7800	0.15592	-0.036229	-0.0089474	-29.822
6.8000	0.17567	-0.032913	-0.0096388	-32.126
6.8200	0.14065	-0.029750	-0.010265	-34.213
6.8400	0.056511	-0.027778	-0.010841	-36.133
6.8600	-0.023198	-0.027445	-0.011393	-37.973
6.8800	-0.044444	-0.028122	-0.011949	-39.826
6.9000	-0.010061	-0.028667	-0.012516	-41.716
6.9200	0.041907	-0.028348	-0.013087	-43.619
6.9400	0.10703	-0.026859	-0.013639	-45.459
6.9600	0.16064	-0.024182	-0.014149	-47.159
6.9800	0.21296	-0.020446	-0.014595	-48.645
7.0000	0.24734	-0.015843	-0.014958	-49.855
7.0200	0.25031	-0.010867	-0.015225	-50.745
7.0400	0.23266	-0.0060369	-0.015394	-51.308
7.0600	0.19234	-0.0017869	-0.015473	-51.572
